ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,BLIGHT,BORER,BORER1,BORER2,BORER3,BORER4,CURV,DY_POLL,DY_SK,E_ASP,E_HARV,E_HT,E_ROT,ELDANA,GR_MAIZE,HELM,HUSK,INST,MUSSIDIA,STREAK,NITR_RAT,P_ASP,P_HARV,PL_HT,RL,RL_RAT,RLPER,RUST,SESAMIA,SL,SL_RAT,SLPER,E_DAM_RAT,COB_DAM_CO,MOIST,ASI,EAR_DAM_RAT,EAR_DAM_CO,LEAF_FEED,COB_DAM_RT,DEAD_HEART,SB_DAM_RAT,BORER_DM_RAT,EASPIN,EHARVIN,EHTIN,FWTIN,FWTUN,HUSKIN,LEAFFEED,LFEED2,PASPIN,PHARVIN,PLHTIN,PLST,PLSTIN,RLIN,SBDAMRAT,SLIN,STEMTUNNEL,YIELDIN1,YIELDIN2,YIELDUN2,DYSKIN,EARDAMIN,EROTIN,MOISTIN
261,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB2,12,TZBR Ses3-C4-W,NIGERIA,IBADAN (2),,3.93,7.38,Forest/Transitional,2001,2936.7,,,,,,,,,51,2.5,25,97,,,,,4.3,,,,,3.5,23,160,4.5,,,,,0.3,,,,,,,,,,,,,,2.5,24,117,3.0,3.0,4.5,3.8,,3.5,25,184,26,25,2.8,,1.3,1.3,2985,,,52,,,
262,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB2,13,CHECK 1,NIGERIA,IBADAN (2),,3.93,7.38,Forest/Transitional,2001,3644.8,,,,,,,,,56,1.8,24,114,,,,,3.3,,,,,3.0,25,203,0.8,,,,,0.3,,,,,,,,,,,0.3,,,2.0,25,105,3.8,3.8,3.3,2.8,,3.0,26,195,25,25,0.8,,0.8,,3594,,,56,,,
263,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB2,14,CHECK 2,NIGERIA,IBADAN (2),,3.93,7.38,Forest/Transitional,2001,3647.7,,,,,,,,,52,2.0,27,103,,,,,3.8,,,,,3.0,26,172,0.5,,,,,,,,,,,,,,,,,,,2.0,26,116,3.8,3.8,4.0,3.0,,3.0,25,180,26,25,0.3,,0.3,0.5,3722,,,51,,,
264,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,1,TZBR ELD1 C7,NIGERIA,IKENNE,,3.70,6.87,,2001,2586.9,2.8,,,,,,2.4,56,57,3.6,23,97,1.5,,,,2.8,,,,,3.0,23,207,,,,2.6,,14.8,,,,,,1.0,,,,,,,,,,,,2.8,,,,,,,23,,,,,,,,,,,,
265,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,2,TZBR ELD3-C2,NIGERIA,IKENNE,,3.70,6.87,,2001,3337.6,1.8,,,,,,1.6,59,59,2.8,22,116,1.9,,,,2.9,,,,,2.4,24,221,0.3,,,1.8,,13.3,,,,,,-0.3,,,,,,,,,,,,3.6,,,,,,,25,,,,,,,,,,,,
266,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,3,TZBR ELD3-C3,NIGERIA,IKENNE,,3.70,6.87,,2001,3116.7,2.1,,,,,,1.6,58,59,2.5,18,109,1.5,,,,3.3,,,,,2.4,21,211,,,,2.0,,13.0,,,,,,0.5,,,,,,,,,,,,3.3,,,,,,,21,,,,,,,,,,,,
267,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,4,TZBR SYN-W C2,NIGERIA,IKENNE,,3.70,6.87,,2001,2755.9,2.0,,,,,,1.5,58,58,3.0,19,102,1.8,,,,3.0,,,,,2.4,20,192,0.5,,,1.9,,12.3,,,,,,0.5,,,,,,,,,,,,2.9,,,,,,,20,,,,,,,,,,,,
268,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,5,TZBR SYN-Y C2,NIGERIA,IKENNE,,3.70,6.87,,2001,2488.3,2.3,,,,,,1.6,60,60,2.9,18,107,1.5,,,,3.1,,,,,2.5,16,201,0.8,,,2.1,,10.3,,,,,,0.5,,,,,,,,,,,,2.6,,,,,,,16,,,,,,,,,,,,
269,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,6,AMA TZBR-W C1,NIGERIA,IKENNE,,3.70,6.87,,2001,3617.7,2.4,,,,,,2.4,57,57,3.0,25,108,1.5,,,,3.1,,,,,2.9,27,208,1.3,,,2.5,,17.0,,,,,,,,,,,,,,,,,,3.8,,,,,,,27,,,,,,,,,,,,
270,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,7,ICZ5 BC2A (9450),NIGERIA,IKENNE,,3.70,6.87,,2001,1626.3,3.3,,,,,,2.3,55,57,3.6,18,90,1.9,,,,2.6,,,,,3.5,17,197,0.5,,,2.9,,9.8,,,,,,1.8,,,,,,,,,,,,1.8,,,,,,,17,,,,,,,,,,,,
271,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,8,ICZ5 BC2B (KU1414SR/SR),NIGERIA,IKENNE,,3.70,6.87,,2001,2649.6,3.1,,,,,,2.0,55,55,2.6,22,104,1.8,,,,3.4,,,,,3.5,24,216,,,,2.1,,13.8,,,,,,-0.3,,,,,,,,,,,,2.9,,,,,,,24,,,,,,,,,,,,
272,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,9,TZBR Ses1-C3-W,NIGERIA,IKENNE,,3.70,6.87,,2001,2642.1,2.9,,,,,,2.5,56,57,3.1,24,110,1.8,,,,2.8,,,,,3.1,26,204,0.5,,,2.9,,15.5,,,,,,1.3,,,,,,,,,,,,2.8,,,,,,,26,,,,,,,,,,,,
273,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,10,TZBR Ses1-C3-Y,NIGERIA,IKENNE,,3.70,6.87,,2001,2336.7,2.3,,,,,,1.9,57,58,3.0,19,109,1.8,,,,3.3,,,,,2.6,22,193,,,,2.3,,13.8,,,,,,0.8,,,,,,,,,,,,2.5,,,,,,,22,,,,,,,,,,,,
274,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,11,TZBR Ses3-C4-Y,NIGERIA,IKENNE,,3.70,6.87,,2001,2116.7,3.5,,,,,,2.3,56,57,3.6,23,101,1.8,,,,3.0,,,,,3.6,25,200,1.5,,,3.5,,16.3,,,,,,1.5,,,,,,,,,,,,2.2,,,,,,,25,,,,,,,,,,,,
275,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,12,TZBR Ses3-C4-W,NIGERIA,IKENNE,,3.70,6.87,,2001,2071.7,3.5,,,,,,2.4,57,58,3.8,20,102,2.4,,,,2.8,,,,,3.5,22,204,,,,3.4,,13.3,,,,,,0.8,,,,,,,,,,,,2.2,,,,,,,22,,,,,,,,,,,,
276,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,13,CHECK 1,NIGERIA,IKENNE,,3.70,6.87,,2001,4026.5,1.6,,,,,,1.5,56,57,3.1,27,100,1.9,,,,3.4,,,,,2.1,29,205,0.5,,,1.6,,13.8,,,,,,1.0,,,,,,,,,,,,4.1,,,,,,,30,,,,,,,,,,,,
277,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IK,14,CHECK 2,NIGERIA,IKENNE,,3.70,6.87,,2001,4161.6,2.0,,,,,,1.8,58,58,2.5,25,105,1.5,,,,2.4,,,,,2.5,29,222,1.3,,,1.5,,15.8,,,,,,,,,,,,,,,,,,4.4,,,,,,,29,,,,,,,,,,,,
278,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,1,TZBR ELD1 C7,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1911.4,,,,,,,4.0,67,67,,27,56,,,,,3.8,,,,,5.3,33,149,6.8,,,,,3.8,,,,9.8,,0.3,3.3,,,,2.0,,,,,,,2.2,,,,,,,37,,,4.3,,,,,,,,,
279,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,2,TZBR ELD3-C2,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1599.0,,,,,,,4.3,73,74,,24,40,,,,,4.0,,,,,5.3,22,118,0.5,,,,,1.5,,,,7.8,,0.8,2.8,,,,2.5,,,,,,,1.9,,,,,,,25,,,5.0,,,,,,,,,
280,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,3,TZBR ELD3-C3,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1828.3,,,,,,,3.8,70,71,,24,52,,,,,5.0,,,,,4.3,34,135,1.3,,,,,3.8,,,,6.3,,1.3,2.8,,,,3.3,,,,,,,2.3,,,,,,,39,,,4.0,,,,,,,,,
281,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,4,TZBR SYN-W C2,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1680.4,,,,,,,3.8,68,69,,31,69,,,,,4.5,,,,,4.0,38,160,3.5,,,,,5.3,,,,8.3,,1.3,3.0,,,,0.8,,,,,,,2.0,,,,,,,39,,,2.8,,,,,,,,,
282,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,5,TZBR SYN-Y C2,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1630.1,,,,,,,3.0,68,69,,24,63,,,,,4.5,,,,,4.5,35,146,4.8,,,,,8.0,,,,5.8,,0.3,3.0,,,,2.0,,,,,,,1.9,,,,,,,38,,,3.8,,,,,,,,,
283,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,6,AMA TZBR-W C1,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,2641.4,,,,,,,3.8,65,65,,41,60,,,,,4.0,,,,,3.8,39,148,1.0,,,,,2.8,,,,10.8,,0.5,4.0,,,,0.5,,,,,,,3.3,,,,,,,40,,,2.8,,,,,,,,,
284,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,7,ICZ5 BC2A (9450),NIGERIA,OBIRIKOM,,6.55,4.93,,2001,645.7,,,,,,,6.0,68,70,,16,53,,,,,3.8,,,,,6.0,28,130,1.5,,,,,9.0,,,,6.3,,1.5,3.3,,,,5.3,,,,,,,0.8,,,,,,,34,,,5.0,,,,,,,,,
285,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,8,ICZ5 BC2B (KU1414SR/SR),NIGERIA,OBIRIKOM,,6.55,4.93,,2001,2514.3,,,,,,,4.0,64,64,,31,54,,,,,4.8,,,,,5.3,36,124,4.3,,,,,7.8,,,,9.3,,0.8,3.0,,,,5.3,,,,,,,2.9,,,,,,,40,,,4.0,,,,,,,,,
286,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,9,TZBR Ses1-C3-W,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,695.3,,,,,,,3.0,70,70,,13,60,,,,,4.0,,,,,6.0,32,140,3.0,,,,,6.3,,,,5.3,,0.8,3.3,,,,3.8,,,,,,,0.8,,,,,,,35,,,4.3,,,,,,,,,
287,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,10,TZBR Ses1-C3-Y,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,810.9,,,,,,,3.0,70,71,,14,62,,,,,4.0,,,,,5.5,29,138,3.5,,,,,9.5,,,,4.3,,0.5,2.8,,,,2.8,,,,,,,1.0,,,,,,,34,,,5.0,,,,,,,,,
288,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,11,TZBR Ses3-C4-Y,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1998.6,,,,,,,5.0,66,68,,28,55,,,,,4.5,,,,,5.0,32,133,1.8,,,,,7.3,,,,10.8,,1.5,4.3,,,,2.3,,,,,,,2.2,,,,,,,38,,,3.0,,,,,,,,,
289,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,12,TZBR Ses3-C4-W,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,631.6,,,,,,,3.8,68,69,,16,64,,,,,4.5,,,,,5.0,34,133,6.5,,,,,6.8,,,,5.3,,0.8,4.0,,,,1.5,,,,,,,0.8,,,,,,,37,,,5.0,,,,,,,,,
290,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,13,CHECK 1,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,2730.2,,,,,,,4.0,67,67,,29,63,,,,,3.5,,,,,4.0,37,142,0.8,,,,,4.5,,,,14.8,,0.3,3.0,,,,2.3,,,,,,,3.2,,,,,,,39,,,2.8,,,,,,,,,
291,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115OBK,14,CHECK 2,NIGERIA,OBIRIKOM,,6.55,4.93,,2001,1015.1,,,,,,,3.0,72,73,,18,62,,,,,4.3,,,,,5.3,35,140,3.5,,,,,4.5,,,,6.3,,1.0,2.8,,,,4.0,,,,,,,1.2,,,,,,,38,,,3.8,,,,,,,,,
292,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,1,TZBR Eld.-1 C7,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,3378,,,,,,,,55,55,3.1,30,103,1.5,,,,1.5,,,,,3.1,33,211,1.0,,,,,2.3,,,,,18.9,0.5,,,,,,,,,,,,3.7,,,,,,,,35,,,,,,,,,,,
293,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,2,TZBR Eld.-3 C3,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,4132,,,,,,,,56,57,2.9,32,109,1.5,,,,1.4,,,,,2.0,32,213,1.0,,,,,1.3,,,,,17.6,0.8,,,,,,,,,,,,4.4,,,,,,,,33,,,,,,,,,,,
294,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,3,TZBR Syn-W C2,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,3817,,,,,,,,55,57,3.3,30,97,1.5,,,,1.3,,,,,2.5,34,199,1.3,,,,,2.0,,,,,20.2,1.5,,,,,,,,,,,,4.2,,,,,,,,35,,,,,,,,,,,
295,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,4,Ama TZBR-W C1,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,3312,,,,,,,,56,57,2.9,25,93,1.5,,,,1.4,,,,,2.5,24,192,1.0,,,,,1.8,,,,,20.5,0.8,,,,,,,,,,,,3.7,,,,,,,,26,,,,,,,,,,,
296,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,5,ICZ5 BC2A (9450)-SR,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,2721,,,,,,,,54,55,3.5,30,100,2.0,,,,1.3,,,,,4.8,32,198,1.0,,,,,2.1,,,,,18.3,1.5,,,,,,,,,,,,2.9,,,,,,,,33,,,,,,,,,,,
297,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,6,ICZ5 BC2B (KU1414)-SR,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,2978,,,,,,,,55,56,3.3,30,93,1.5,,,,1.4,,,,,3.0,33,195,1.0,,,,,2.0,,,,,19.3,1.0,,,,,,,,,,,,3.2,,,,,,,,33,,,,,,,,,,,
298,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,7,TZBR Ses.-1 C3-Y,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,3291,,,,,,,,55,56,3.1,33,106,1.5,,,,1.5,,,,,2.9,34,200,1.0,,,,,2.0,,,,,19.4,1.0,,,,,,,,,,,,3.6,,,,,,,,35,,,,,,,,,,,
299,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,8,TZBR Ses.-3 C4-Y,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,2775,,,,,,,,54,56,3.6,29,100,1.5,,,,1.3,,,,,4.5,32,198,1.0,,,,,2.0,,,,,18.2,1.3,,,,,,,,,,,,3.0,,,,,,,,33,,,,,,,,,,,
300,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,9,TZBR Ses.-3 C4-W,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,2889,,,,,,,,55,56,3.5,28,102,1.6,,,,1.1,,,,,4.4,31,185,1.0,,,,,2.0,,,,,18.4,1.3,,,,,,,,,,,,3.1,,,,,,,,33,,,,,,,,,,,
301,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,10,Check 1,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,3786,,,,,,,,56,56,2.3,30,91,1.4,,,,1.1,,,,,3.1,33,190,1.0,,,,,1.5,,,,,18.5,0.8,,,,,,,,,,,,4.1,,,,,,,,34,,,,,,,,,,,
302,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IK,11,Check 2,NIGERIA,IKENNE,,3.70,6.87,Forest/Transitional,2002,3737,,,,,,,,55,56,3.0,30,102,1.5,,,,1.0,,,,,2.3,34,202,1.0,,,,,2.5,,,,,18.2,0.8,,,,,,,,,,,,4.0,,,,,,,,34,,,,,,,,,,,
303,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,1,TZBR Eld.-1 C7,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1334,,,,,,,,,,,,64,1.0,,,,3.0,,,,,,,155,1.9,,,,,,,,,,,,,,633.8,,,,,2.3,19,,1.4,,,,,,19,,,60,,,2.5,,,,,68,,,
304,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,2,TZBR Eld.-3 C3,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1697,,,,,,,,,,,,75,1.7,,,,2.0,,,,,,,161,2.6,,,,,,,,,,,,,,767.4,,,,,1.8,17,,1.8,,,,,,17,,,55,,,2.5,,,,,67,,,
305,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,3,TZBR Syn-W C2,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1624,,,,,,,,,,,,75,0.8,,,,2.3,,,,,,,168,1.4,,,,,,,,,,,,,,660.8,,,,,1.5,17,,1.7,,,,,,17,,,54,,,1.4,,,,,65,,,
306,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,4,Ama TZBR-W C1,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1406,,,,,,,,,,,,74,1.2,,,,1.3,,,,,,,159,1.9,,,,,,,,,,,,,,574.5,,,,,1.0,11,,1.5,,,,,,11,,,32,,,2.8,,,,,66,,,
307,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,5,ICZ5 BC2A (9450)-SR,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,509,,,,,,,,,,,,52,2.0,,,,3.5,,,,,,,133,1.4,,,,,,,,,,,,,,551.9,,,,,2.3,10,,0.5,,,,,,10,,,54,,,1.8,,,,,66,,,
308,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,6,ICZ5 BC2B (KU1414)-SR,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1043,,,,,,,,,,,,67,2.4,,,,3.3,,,,,,,153,2.7,,,,,,,,,,,,,,637.6,,,,,2.8,15,,1.1,,,,,,15,,,53,,,2.1,,,,,66,,,
309,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,7,TZBR Ses.-1 C3-Y,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1649,,,,,,,,,,,,69,2.3,,,,2.3,,,,,,,151,3.1,,,,,,,,,,,,,,652.4,,,,,2.0,19,,1.7,,,,,,20,,,59,,,2.7,,,,,67,,,
310,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,8,TZBR Ses.-3 C4-Y,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,727,,,,,,,,,,,,70,1.8,,,,3.5,,,,,,,152,0.5,,,,,,,,,,,,,,652.9,,,,,3.3,13,,0.8,,,,,,13,,,59,,,1.0,,,,,64,,,
311,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,9,TZBR Ses.-3 C4-W,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1043,,,,,,,,,,,,68,3.0,,,,2.5,,,,,,,152,0.9,,,,,,,,,,,,,,647.9,,,,,3.0,17,,1.1,,,,,,18,,,56,,,2.7,,,,,65,,,
312,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,10,Check 1,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,994,,,,,,,,,,,,77,2.3,,,,2.0,,,,,,,175,4.1,,,,,,,,,,,,,,684.5,,,,,1.8,14,,1.0,,,,,,14,,,45,,,3.5,,,,,65,,,
313,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0216IT,11,Check 2,NIGERIA,IAR&T,,3.70,6.87,Forest/Transitional,2002,1358,,,,,,,,,,,,71,1.7,,,,2.5,,,,,,,158,0.9,,,,,,,,,,,,,,646.5,,,,,1.5,15,,1.4,,,,,,15,,,55,,,1.0,,,,,65,,,
314,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,1,TZBR Eld.-3 C6,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,129,,,3,,,,,223,20,,2,,10,,,,,56,,3,
315,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,2,TZBR Eld.-4-W C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,148,,,4,,,,,240,21,,1,,12,,,,,57,,3,
316,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,3,TZBR Eld.-4-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,142,,,4,,,,,232,21,,2,,11,,,,,56,,3,
317,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,4,BR 9928-DMRSR C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,132,,,4,,,,,225,21,,1,,9,,,,,58,,2,
318,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,5,BR 9943-DMRSR C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,136,,,4,,,,,231,21,,2,,5,,,,,57,,3,
319,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,6,BR TZL Comp 4 DMRSR,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,133,,,3,,,,,230,21,,3,,9,,,,,57,,3,
320,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,7,Ama TZBR-W C4,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,129,,,4,,,,,226,21,,2,,11,,,,,57,,3,
321,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,8,Ama TZBR-Y,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,127,,,4,,,,,218,21,,3,,7,,,,,57,,4,
322,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,9,TZBR Comp 1-W C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,125,,,3,,,,,218,21,,2,,7,,,,,57,,3,
323,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,10,TZBR Comp 2-W C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,135,,,4,,,,,223,21,,2,,11,,,,,58,,3,
324,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,11,TZBR Comp 1-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,120,,,3,,,,,204,17,,1,,3,,,,,56,,2,
325,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,12,TZBR Comp 2-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,135,,,3,,,,,227,20,,1,,8,,,,,56,,3,
326,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,13,Check 1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,116,,,3,,,,,220,21,,2,,9,,,,,55,,3,
327,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,14,Check 2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,121,,,3,,,,,212,21,,2,,11,,,,,53,,4,
